anchor,variant,edit_distance,description,model,trained_cos,kron_cos,bucket,anchor_pieces,variant_pieces
code,Code,1,case_swap,gpt-oss-120b,0.8483,0.7499,same_canonical,1,1
code,codes,1,morph_+s,gpt-oss-120b,0.7359,0.8944,morphological,1,1
code,coded,1,morph_+d,gpt-oss-120b,0.5226,0.8944,morphological,1,1
code,coding,2,morph_+ing,gpt-oss-120b,0.5554,0.6121,morphological,1,1
code,codec,1,morph_+c,gpt-oss-120b,0.3849,0.8944,morphological,1,1
code,decode,2,morph_prefix,gpt-oss-120b,0.3977,-0.0006,morphological,1,1
code,encode,2,morph_prefix_2,gpt-oss-120b,0.4590,-0.0006,morphological,1,1
code,kitchen,6,unrelated,gpt-oss-120b,0.4224,-0.0006,unrelated,1,2
run,run,0,self,smollm2-135M,1.0000,1.0000,self,1,1
run,Run,1,case_swap,smollm2-135M,0.8077,0.6665,same_canonical,1,1
run,RUN,3,all_caps,smollm2-135M,0.4316,-0.0004,same_canonical,1,1
run,runs,1,morph_+s,smollm2-135M,0.5605,0.8660,morphological,1,1
run,ran,2,morph_irregular,smollm2-135M,0.4123,0.6665,morphological,1,1
run,runner,3,morph_+er,smollm2-135M,0.4041,0.7070,morphological,1,1
run,running,4,morph_+ing,smollm2-135M,0.6870,0.6545,morphological,1,1
run,rune,1,near_unrelated,smollm2-135M,0.3251,0.8660,unrelated,1,2
run,road,3,unrelated_short,smollm2-135M,0.1246,0.2884,unrelated,1,1
run,kitchen,6,unrelated_long,smollm2-135M,0.0481,-0.0006,unrelated,1,2
compute,compute,0,self,smollm2-135M,1.0000,1.0000,self,1,1
compute,Compute,1,case_swap,smollm2-135M,0.6252,0.8570,same_canonical,1,1
compute,computes,1,morph_+s,smollm2-135M,0.2944,0.9353,morphological,1,2
compute,computed,1,morph_+d,smollm2-135M,0.3027,0.9353,morphological,1,2
compute,computer,1,morph_+r,smollm2-135M,0.2260,0.9353,morphological,1,1
compute,computing,2,morph_+ing,smollm2-135M,0.3978,0.7557,morphological,1,1
compute,computation,3,morph_+ation,smollm2-135M,0.3129,0.6834,morphological,1,2
compute,commute,1,near_unrelated,smollm2-135M,0.1338,0.8570,unrelated,1,2
compute,compose,2,unrelated,smollm2-135M,0.1995,0.7140,unrelated,1,2
compute,kitchen,7,unrelated_long,smollm2-135M,0.0694,-0.0009,unrelated,1,2
nation,nation,0,self,smollm2-135M,1.0000,1.0000,self,1,1
nation,Nation,1,case_swap,smollm2-135M,0.2191,0.8332,same_canonical,1,2
nation,nations,1,morph_+s,smollm2-135M,0.2829,0.9258,morphological,1,2
nation,national,2,morph_+al,smollm2-135M,0.3752,0.8659,morphological,1,1
nation,nationally,4,morph_+ally,smollm2-135M,0.2802,0.7744,morphological,1,2
nation,station,1,near_unrelated,smollm2-135M,0.1619,-0.0008,unrelated,1,1
nation,notion,2,near_unrelated_2,smollm2-135M,0.1433,0.8332,unrelated,1,2
nation,ration,1,near_unrelated_3,smollm2-135M,0.0982,0.8332,unrelated,1,1
nation,kitchen,6,unrelated,smollm2-135M,-0.0037,0.1536,unrelated,1,2
import,import,0,self,smollm2-135M,1.0000,1.0000,self,1,1
import,Import,1,case_swap,smollm2-135M,0.4710,0.8332,same_canonical,1,1
import,imports,1,morph_+s,smollm2-135M,0.6989,0.9258,morphological,1,2
import,imported,2,morph_+ed,smollm2-135M,0.7017,0.8659,morphological,1,2
import,importing,3,morph_+ing,smollm2-135M,0.6814,0.8163,morphological,1,2
import,important,3,near_unrelated,smollm2-135M,0.3227,0.8163,unrelated,1,1
import,export,2,antonym,smollm2-135M,0.4707,0.6664,unrelated,1,1
import,kitchen,7,unrelated,smollm2-135M,-0.0005,-0.0008,unrelated,1,2
code,code,0,self,smollm2-135M,1.0000,1.0000,self,1,1
code,Code,1,case_swap,smollm2-135M,0.8067,0.7499,same_canonical,1,1
code,codes,1,morph_+s,smollm2-135M,0.6180,0.8944,morphological,1,1
code,coded,1,morph_+d,smollm2-135M,0.4476,0.8944,morphological,1,1
code,coding,2,morph_+ing,smollm2-135M,0.4382,0.6121,morphological,1,1
code,codec,1,morph_+c,smollm2-135M,0.3520,0.8944,morphological,1,2
code,decode,2,morph_prefix,smollm2-135M,0.1590,-0.0006,morphological,1,1
code,encode,2,morph_prefix_2,smollm2-135M,0.2509,-0.0006,morphological,1,1
code,kitchen,6,unrelated,smollm2-135M,0.1472,-0.0006,unrelated,1,2
